volunteer_id,levy_id
1,11824
2,4871
2,2754
4,12632
5,5244
7,11405
8,13892
8,652
9,15430
10,11354
10,10641
10,14241
11,11923
12,2024
12,1971
12,1184
14,17966
14,18116
15,10488
15,18393
15,2163
16,13025
16,12728
16,12738
17,15876
17,16763
18,7574
18,10118
19,1001
20,6462
20,10010
21,6506
21,15589
22,6160
23,13886
24,10345
25,1543
25,932
25,9827
26,13082
28,16626
32,2874
32,14524
32,19632
33,8532
33,18018
33,7784
35,2821
36,2482
36,8023
39,11741
39,5454
40,5939
40,14341
40,16424
41,10813
41,5697
41,15936
43,9206
43,18040
43,16950
44,17848
44,11795
44,19436
45,3109
46,17643
46,11096
47,2622
47,7882
47,14847
48,8222
50,3591
50,11625
51,13802
51,17663
53,10029
53,322
53,9628
54,8942
54,13895
54,13896
55,4045
55,14028
56,17821
56,5687
57,2486
57,975
59,18183
59,3317
61,11478
63,15441
63,12523
63,19378
64,16059
65,172
65,16237
66,17585
66,5136
67,17782
68,9019
68,14651
68,15189
69,18869
69,17828
69,4533
70,14193
70,10756
70,6724
71,5134
72,12536
72,1282
72,19235
73,1960
73,17366
75,13334
75,14051
77,19133
77,13591
77,15874
78,4665
78,13975
78,18162
79,11107
80,18811
81,18150
82,2209
82,10803
82,7492
83,19467
83,10224
84,16403
84,15363
84,5214
85,3260
85,15476
85,860
86,1656
86,1099
86,108
87,8371
88,3392
89,10926
89,6378
89,7886
90,2689
90,8977
90,17890
91,6962
91,9405
92,6723
93,2721
94,12290
94,16907
94,7956
95,1177
97,19172
97,12354
97,12016
98,15125
100,6534
100,6506
100,163
101,2336
101,17921
101,3360
102,6466
102,15408
102,8757
103,10345
104,16017
105,2480
105,17345
106,4729
107,17814
107,4996
107,8726
108,3492
108,7776
108,14713
109,8640
109,19700
109,1453
110,14439
110,8627
110,2296
111,6256
112,15454
113,5257
113,14082
114,4457
115,5585
116,17384
116,11157
116,8432
117,19473
117,7577
118,10601
118,5446
120,2234
120,9095
120,13130
122,19516
122,3465
122,10903
123,13265
123,18552
125,15409
125,12183
126,9092
126,4808
126,15070
127,7193
129,18227
129,11229
129,7619
130,4139
131,15514
131,18167
131,19220
132,10587
132,16157
132,19706
133,3088
133,3180
134,9585
134,14462
135,18482
135,2723
137,9195
139,19903
139,18685
141,513
141,18545
142,4157
142,9110
144,7762
144,15639
145,12235
145,12379
145,16634
146,2052
146,14916
148,12714
148,4671
148,2342
149,7123
149,13106
149,14441
150,13256
150,12286
153,6750
153,2399
153,12426
155,6899
155,15702
156,4630
156,1828
157,15759
157,5371
157,10487
158,2684
159,4495
159,7363
159,14785
161,17253
161,4789
161,18042
162,14238
164,15345
169,8498
170,298
171,56
171,1377
172,10145
173,16706
173,9444
173,11297
175,13359
175,2731
175,11197
176,12511
177,8070
177,9083
177,50
178,17370
178,8603
180,15888
180,13173
180,8325
181,15277
181,15235
181,11465
182,13541
182,17450
185,14645
185,14256
185,14879
186,8197
186,4748
188,1976
188,10152
189,10388
189,903
190,12576
190,15506
190,1957
191,7551
191,1344
191,1899
192,19012
192,14141
192,14757
193,5311
196,18973
196,3953
196,13776
199,776
199,9960
201,17862
202,12245
204,6561
204,19788
205,12438
206,10931
206,11828
206,1637
208,15119
208,15565
208,6322
209,6749
209,16580
211,11967
211,2995
214,7109
214,11970
215,14147
216,7369
217,16446
217,4572
217,11295
218,14436
218,7110
218,12601
220,2538
220,4118
222,5116
223,4653
224,16467
224,17720
225,14665
227,16809
227,15556
227,18784
229,8004
229,10377
230,13773
230,1637
231,11648
231,17538
231,18136
232,235
232,17707
234,19634
235,17979
235,2875
235,12882
236,19777
236,16365
237,5606
237,17300
237,9318
238,3499
238,16222
238,16641
240,12062
240,2574
241,2941
242,1406
242,10816
243,5788
244,17852
244,4869
245,12939
245,12795
245,12687
246,9414
246,5748
246,15791
247,3905
249,560
249,17520
249,9164
250,3482
250,16662
250,11128
251,19100
251,1513
252,16039
253,18545
253,7020
253,12065
254,6110
257,15506
258,8365
259,6920
259,16078
259,3947
260,1631
260,17215
260,4632
261,15984
261,5386
261,4378
262,7491
262,5084
262,1651
264,2837
264,19663
264,3744
267,9171
267,9591
269,9027
270,5060
270,19271
270,2523
272,16266
272,3879
273,1010
273,15008
273,17228
274,8003
274,10149
275,6173
275,15867
275,13967
276,4927
277,19588
278,5259
279,19791
279,19001
279,15462
280,16442
280,7938
281,1229
281,8729
282,3529
282,16012
283,17139
283,10089
285,11876
288,218
289,3274
289,16266
289,19255
290,7565
290,1856
290,3258
291,15275
291,1411
292,9272
293,8638
294,1106
294,659
297,11357
297,8498
297,19472
299,11762
299,7656
299,2550
300,3305
300,9434
300,9946
302,2519
303,919
304,9487
304,245
304,17343
306,15869
306,17683
306,15216
307,3655
307,17190
307,3049
308,1638
308,9144
308,13743
309,11422
310,12487
311,2547
311,6950
312,460
312,107
314,3845
314,6977
314,4828
315,9667
315,2287
317,7276
317,18149
317,6743
318,19384
318,16147
318,3354
320,12308
320,7826
320,7495
323,16699
324,17158
325,17625
325,10619
326,14376
326,3577
327,3845
327,311
327,11220
328,1139
329,5503
329,6669
329,7273
331,10659
331,11496
331,9716
332,12259
333,494
333,2785
333,11405
336,19806
337,19904
337,11225
337,14350
338,104
338,18608
338,519
339,7190
339,2489
340,10755
340,9563
342,8838
343,16716
345,7586
348,5126
348,19141
349,6157
349,2866
350,3475
350,8160
350,5404
353,3457
354,11882
355,6094
356,4557
357,2786
357,19093
358,18550
359,8992
359,7562
360,11019
360,15906
360,5473
361,10233
362,15610
362,582
363,1837
363,19298
363,122
365,18664
365,9959
366,437
366,19652
366,13975
367,13191
367,6172
367,16743
369,15806
370,8542
371,7134
371,634
371,3800
373,11602
373,5944
374,7253
374,6904
375,6065
376,14347
376,18760
377,7290
377,527
377,14530
378,4687
378,11097
378,5049
379,4017
379,4858
380,9859
380,255
382,14889
382,11649
382,3130
383,13467
383,14232
383,2093
384,14313
385,3222
385,5200
386,4284
386,15852
386,13974
387,19452
387,1704
389,12449
389,7706
390,192
390,19205
391,18963
391,6897
391,14824
392,2121
392,1636
395,11922
395,19764
396,19166
397,8553
397,2320
397,7415
398,39
398,7151
400,11381
401,6754
401,5554
401,15119
402,18021
402,5232
404,15884
404,11405
404,18937
406,19451
406,2823
406,9882
408,16137
408,16869
409,8535
409,9139
409,2962
410,12965
411,11263
411,15282
411,17198
412,3442
413,7958
414,16453
414,6697
414,6116
415,8370
415,2648
415,272
416,14041
416,6399
418,214
418,17362
419,9336
420,6661
420,13173
420,11862
422,10159
422,11370
422,18316
423,11416
423,14803
423,18432
424,7933
424,2290
424,6222
426,889
427,13585
428,1236
428,14009
429,13194
429,3863
429,16782
430,8412
430,15484
431,11054
433,11025
434,15459
434,18671
434,9436
436,8659
437,19222
438,19290
439,7046
439,396
439,6327
440,9505
440,17527
440,2813
441,6468
441,1414
441,18904
442,6529
442,12466
443,19208
445,19002
447,16462
448,1324
449,18013
449,10786
449,13778
451,14348
451,10665
451,10481
452,2292
454,15659
455,18323
455,6890
456,10497
456,1408
458,571
458,3396
460,165
460,1889
461,14562
461,5282
461,971
462,17357
463,16105
463,11442
464,7811
464,13585
465,16163
465,16310
465,10634
466,320
466,18170
466,18748
467,4783
467,18260
468,19345
468,9605
469,15914
469,2074
469,17375
470,9151
470,10910
471,4824
472,17090
472,12929
473,10021
474,9882
474,14262
474,8862
476,1909
476,12770
476,13321
477,8569
478,8987
479,14865
479,3772
480,12082
480,9871
481,15808
