volunteer_id,average_reputation,feedback_count,average_sentiment,cluster
1,2.71,4,0.0,0
2,2.783333333333333,3,0.0,0
3,3.7083333333333335,6,0.0,1
4,2.925,4,0.0,0
5,3.0500000000000003,3,0.0,0
6,2.638333333333333,6,0.0,1
7,3.5533333333333332,3,0.0,0
8,2.245,4,0.0,0
9,2.255,4,0.0,0
10,3.31875,8,0.0,2
11,4.04,3,0.0,0
12,3.782857142857143,7,0.0,2
13,2.3400000000000003,3,0.0,0
14,2.8314285714285714,7,0.0,2
15,3.315714285714286,7,0.0,2
16,3.4,6,0.0,1
17,2.813333333333333,6,0.0,1
18,2.3899999999999997,5,0.0,1
19,3.143333333333333,3,0.0,0
20,3.37,4,0.0,0
21,1.7750000000000001,4,0.0,0
22,2.88,5,0.0,1
23,2.8066666666666666,3,0.0,0
24,2.2225,4,0.0,0
25,4.845000000000001,2,0.0,0
26,2.64,7,0.0,2
27,2.672,5,0.0,1
28,3.4775,4,0.0,0
29,2.782,5,0.0,1
30,2.582857142857143,7,0.0,2
31,3.2566666666666664,6,0.0,1
32,3.52,2,0.0,0
33,4.183333333333334,3,0.0,0
34,3.54,5,0.0,1
35,3.49,4,0.0,0
36,2.636,5,0.0,1
37,3.404285714285714,7,0.0,2
38,2.7,5,0.0,1
39,2.656,5,0.0,1
40,3.7142857142857144,7,0.0,2
41,2.591818181818182,11,0.0,2
42,2.7985714285714285,7,0.0,2
43,2.6271428571428572,7,0.0,2
44,2.118,5,0.0,1
45,2.872,5,0.0,1
46,3.224285714285714,7,0.0,2
47,2.465,4,0.0,0
48,2.7528571428571427,7,0.0,2
49,2.587142857142857,7,0.0,2
50,2.2325,4,0.0,0
51,3.754,5,0.0,1
52,3.3240000000000003,5,0.0,1
53,3.4850000000000003,4,0.0,0
54,2.8485714285714288,7,0.0,2
55,3.4625000000000004,4,0.0,0
56,4.02,2,0.0,0
57,3.8066666666666666,3,0.0,0
58,2.175,2,0.0,0
59,3.4739999999999993,5,0.0,1
60,3.0759999999999996,5,0.0,1
61,3.37625,8,0.0,2
62,1.87,2,0.0,0
63,3.3766666666666665,3,0.0,0
64,3.2662500000000003,8,0.0,2
65,2.3125,4,0.0,0
66,2.8400000000000003,5,0.0,1
67,3.123333333333333,6,0.0,1
68,2.569,10,0.0,2
69,2.4066666666666667,9,0.0,2
70,3.7550000000000003,6,0.0,1
71,3.1533333333333333,9,0.0,2
72,3.061666666666667,6,0.0,1
73,3.2960000000000003,5,0.0,1
74,2.4899999999999998,5,0.0,1
75,3.44125,8,0.0,2
76,2.1799999999999997,4,0.0,0
77,3.1666666666666665,3,0.0,0
78,2.3275,8,0.0,2
79,3.0728571428571425,7,0.0,2
82,2.9433333333333334,3,0.0,0
83,3.531111111111111,9,0.0,2
84,2.8366666666666664,6,0.0,1
85,2.8025,4,0.0,0
86,2.5725,4,0.0,0
87,3.38,11,0.0,2
88,3.04,4,0.0,0
89,2.448,5,0.0,1
91,2.6766666666666667,9,0.0,2
92,2.815,2,0.0,0
93,4.016666666666667,3,0.0,0
94,2.442857142857143,7,0.0,2
95,3.26,3,0.0,0
96,2.7114285714285713,7,0.0,2
97,3.36,3,0.0,0
98,2.6300000000000003,3,0.0,0
99,3.60875,8,0.0,2
100,1.27,1,0.0,0
101,3.325,10,0.0,2
102,3.1242857142857146,7,0.0,2
103,3.6950000000000003,2,0.0,0
104,2.6333333333333333,6,0.0,1
105,3.1866666666666665,9,0.0,2
106,3.15,1,0.0,0
107,2.2800000000000002,7,0.0,2
108,2.2824999999999998,4,0.0,0
109,3.0066666666666664,3,0.0,0
110,2.8600000000000003,5,0.0,1
111,3.16,4,0.0,0
112,2.44,8,0.0,2
113,2.7900000000000005,3,0.0,0
